feature,mutual_information
Race__Compound_LapNumber_mean,0.0719375799596238
Race__Compound_count,0.07157575048466325
Year_PitStop_hash,0.07131292513114729
Race__Year__Driver_LapTime_Delta_mean,0.07053552768765092
Compound_LapTime_Delta_z,0.06935092185228342
delta_per_tyre_lap,0.06134507076748563
position_pressure,0.06013279728067822
LapTime_Delta,0.05848121351544955
Cumulative_Degradation,0.054255746113455405
race_laps_est,0.05350806428005739
Race__Year__Driver_Cumulative_Degradation_mean,0.05216951706826678
Driver__Compound_LapTime_Delta_mean,0.050312120513353875
Driver__Compound_LapTime (s)_mean,0.050287111401501994
race_phase_10_freq,0.049888725369061415
Driver_Compound_hash,0.04970580604594654
race_phase_10,0.04909238059990462
Driver__Compound_LapNumber_mean,0.04885439741345232
Driver__Compound_Cumulative_Degradation_mean,0.04730805567501983
seq_Race__Year__Compound_LapTime_Delta_ewm_a05,0.0465244062341752
Driver__Compound_TyreLife_mean,0.046507228092498965
seq_Race__Year__Compound_LapTime_Delta_roll3_mean,0.04637698189510431
seq_Year__Race__Driver_LapTime_Delta_ewm_a05,0.04576712938313454
race_phase_5_freq,0.045743770183853005
seq_Year__Race__Driver_LapTime_Delta_roll3_mean,0.04558226239395169
race_phase_5,0.04496184928670055
LapNumber,0.0448340403408205
seq_Year__Race__Position_LapTime_Delta_ewm_a05,0.04465081113680269
Race__Year__Driver_LapTime (s)_mean,0.044432901213910636
seq_Year__Race__Position_LapTime_Delta_roll3_mean,0.04290131678844311
seq_Year__Race__Driver_LapTime_Delta_lag1,0.042862146259669
Driver__Compound_Position_mean,0.04206424612863646
seq_Driver_LapTime_Delta_roll3_mean,0.04182475483295911
Race__Year__Compound_LapTime_Delta_z,0.041698688731927946
seq_Race__Year__Compound_LapTime_Delta_lag1,0.04169157898332232
Compound_Position_z,0.041215738716904315
Race__Year_LapTime_Delta_z,0.040791015607119174
seq_Driver_LapTime_Delta_ewm_a05,0.04065854790879353
TyreLife,0.040649879812921785
seq_Year__Race__Position_LapTime_Delta_lag1,0.039848479217587496
seq_Driver_LapTime_Delta_lag1,0.039547118878346055
Compound_LapTime_Delta_mean,0.03917527281073041
Compound_LapNumber_mean,0.03916951641515909
Compound_TyreLife_mean,0.03901557727883098
Compound_PitStop_hash,0.039013866961960186
Position_Change,0.038564065942899406
Compound_count,0.03831592490591551
Compound_code,0.037988811922599286
Compound_LapTime (s)_mean,0.03768796989520595
Compound_freq,0.03743942285249968
Compound_Cumulative_Degradation_mean,0.037319874366551486
seq_Year__Race__Driver_LapTime_Delta_diff1,0.037268181855123705
position_change_abs,0.03663686094867713
Race__Stint_LapTime_Delta_z,0.03570033050108967
laps_remaining_est,0.03509617476175464
seq_Race__Year__Compound_Cumulative_Degradation_lag1,0.034541128269351296
Race_LapTime_Delta_z,0.03420378049697703
seq_Driver_LapTime_Delta_diff1,0.034015450077527376
Race__Compound_LapTime_Delta_z,0.03359093101600519
seq_Race__Year__Compound_LapTime_Delta_diff1,0.03312728518422747
seq_Year__Race__Driver_Cumulative_Degradation_ewm_a05,0.032918266966240894
seq_Year__Race__Driver_Cumulative_Degradation_lag1,0.03286336921312616
seq_Year__Race__Position_LapTime_Delta_diff1,0.03267645116355511
seq_Year__Race__Driver_Cumulative_Degradation_roll3_mean,0.03002320600217634
Race__Year_LapTime (s)_z,0.02812782349116616
Race_Position_z,0.027488348140467744
Race__Compound_Cumulative_Degradation_z,0.026981403291285178
Driver__Race_LapTime_Delta_mean,0.025730986201512707
seq_Year__Race__Driver_Cumulative_Degradation_diff1,0.025628972966770913
seq_Driver_Cumulative_Degradation_lag1,0.024855633440383773
seq_Race__Year__Compound_Cumulative_Degradation_ewm_a05,0.02441776932904638
seq_Year__Race__Position_Cumulative_Degradation_lag1,0.023903889693989377
seq_Driver_Cumulative_Degradation_roll3_mean,0.023817049064162488
LapTime (s),0.023252584786025432
degradation_per_lap,0.023080722947053545
seq_Race__Year__Compound_Cumulative_Degradation_roll3_mean,0.02269877238966389
seq_Driver_Cumulative_Degradation_ewm_a05,0.022604200900376403
Race_PitStop_hash,0.022375314910066058
tyre_life_remaining_proxy,0.02220788543485952
Race_LapNumber_mean,0.02188080569801798
degradation_per_tyre_lap,0.021763351169824974
Race_freq,0.021745788594673243
Race__Year__Driver_LapNumber_mean,0.021732829273072296
seq_Year__Race__Position_TyreLife_diff1,0.0216489684889285
seq_Year__Race__Driver_TyreLife_roll3_mean,0.02144191323538247
Driver_Race_hash,0.021295792357451715
seq_Driver_order,0.02116126326220935
seq_Year__Race__Position_Cumulative_Degradation_diff1,0.021149916466468355
seq_Year__Race__Driver_LapTime (s)_lag1,0.021118833561176498
Driver__Race_Cumulative_Degradation_mean,0.020815982105343966
seq_Year__Race__Driver_LapTime (s)_roll3_mean,0.02030103943952133
seq_Year__Race__Position_Cumulative_Degradation_roll3_mean,0.01993891512383761
Driver__Race_LapTime (s)_mean,0.01983839888393546
Race_LapTime_Delta_mean,0.019829841231853162
seq_Year__Race__Driver_LapTime (s)_ewm_a05,0.01972308821213442
seq_Year__Race__Driver_TyreLife_ewm_a05,0.019612248278374933
Race_LapTime (s)_mean,0.019471975522715068
seq_Year__Race__Driver_TyreLife_diff1,0.01939140955951313
seq_Year__Race__Driver_TyreLife_lag1,0.01933563157255258
Driver__Compound_count,0.019189421282834074
Race__Year__Driver_TyreLife_mean,0.018398782928566115
seq_Race__Year__Compound_LapTime (s)_lag1,0.01837613063304766
Race_TyreLife_mean,0.01744219863524976
seq_Driver_Cumulative_Degradation_diff1,0.017429753506363665
Race__Compound_LapTime (s)_z,0.017111226812815516
Race_code,0.016999808483549428
Race_Cumulative_Degradation_mean,0.016183835218406717
Race_count,0.016166224294913212
seq_Driver_TyreLife_diff1,0.01592854764572582
seq_Year__Race__Driver_Position_roll3_mean,0.015611784323527056
seq_Year__Race__Driver_order,0.01556874989908752
seq_Year__Race__Driver_Position_ewm_a05,0.015388192169334847
seq_Year__Race__Position_Cumulative_Degradation_ewm_a05,0.015274368856613485
Driver__Race_LapNumber_mean,0.015155518982865823
seq_Year__Race__Driver_LapTime (s)_diff1,0.014215952752223204
seq_Race__Year__Compound_Cumulative_Degradation_diff1,0.014144688586374299
seq_Race__Year__Compound_LapTime (s)_roll3_mean,0.013324975738399969
seq_Year__Race__Driver_Position_lag1,0.012872466151830242
Driver_PitStop_hash,0.012686148187368573
Driver__Race_TyreLife_mean,0.012259589415564154
seq_Race__Year__Compound_TyreLife_diff1,0.01213984975541238
seq_Race__Year__Compound_LapTime (s)_ewm_a05,0.011769338125235063
Driver_TyreLife_mean,0.011038648133553375
seq_Driver_LapTime (s)_lag1,0.011017017396333317
seq_Race__Year__Compound_TyreLife_ewm_a05,0.010884729743276145
Driver_LapTime_Delta_mean,0.010120480631318873
Driver_Position_mean,0.009990313436993636
Driver_Cumulative_Degradation_mean,0.00975356865755539
seq_Year__Race__Driver_Position_diff1,0.009496963235659406
seq_Race__Year__Compound_TyreLife_roll3_mean,0.009409187828830712
Driver_LapNumber_mean,0.009007300189393996
Driver_count,0.009000032470278585
Driver_LapTime (s)_mean,0.008784554329517524
seq_Year__Race__Position_LapTime (s)_lag1,0.008334265898432003
Driver_code,0.00773384251649567
Driver__Race_Position_mean,0.007143141653095597
seq_Year__Race__Position_LapTime (s)_ewm_a05,0.007079858812448325
seq_Year__Race__Position_LapTime (s)_roll3_mean,0.007054970976848596
seq_Driver_LapTime (s)_diff1,0.006928760591399685
PitStop_freq,0.006066761995203951
seq_Year__Race__Position_LapTime (s)_diff1,0.005992488049650024
Driver_freq,0.005974933585240816
seq_Race__Year__Compound_Position_roll3_mean,0.005904212370172912
Race__Year__Driver_Position_mean,0.005276309538244428
seq_Race__Year__Compound_Position_ewm_a05,0.00523413503972292
seq_Race__Year__Compound_order,0.004874383946068761
seq_Race__Year__Compound_TyreLife_lag1,0.004387845718297756
seq_Driver_TyreLife_ewm_a05,0.004353224998868477
Driver__Race_count,0.0026769129997168406
Race__Year__Driver_count,0.0025030312540745836
seq_Race__Year__Compound_Position_lag1,0.002261437704944358
seq_Year__Race__Position_TyreLife_lag1,0.0021708782087770384
seq_Driver_LapTime (s)_ewm_a05,0.0021348793815614275
seq_Driver_Position_diff1,0.0017672278132814245
seq_Year__Race__Position_TyreLife_roll3_mean,0.0017503307809405566
seq_Year__Race__Position_TyreLife_ewm_a05,0.001646140413232855
Position,0.0016118669259304053
seq_Year__Race__Position_order,0.0015911777249681958
seq_Driver_Position_roll3_mean,0.0015128716717323076
seq_Race__Year__Compound_LapTime (s)_diff1,0.0011541504284033888
Position_freq,0.0010086133451050472
seq_Year__Race__Position_Position_lag1,0.0009529582647129775
seq_Race__Year__Compound_Position_diff1,0.00021696558404515898
seq_Driver_TyreLife_roll3_mean,0.00021256414758852316
id_mod_7,0.00016288835620037467
seq_Year__Race__Position_Position_roll3_mean,0.0001351249394427878
seq_Driver_Position_lag1,9.076667703133978e-05
seq_Driver_TyreLife_lag1,0.0
id_mod_5,0.0
id,0.0
seq_Year__Race__Position_Position_ewm_a05,0.0
seq_Driver_Position_ewm_a05,0.0
seq_Driver_LapTime (s)_roll3_mean,0.0
